2006-1
bundesregier,deutschland,deutsch,land,mensch,europa,antrag,polit,ausschuss,euro
498,431,412,388,333,326,298,280,267,265


2006-2
mensch,land,deutschland,antrag,bundesregier,gesetz,euro,ausschuss,deutsch,polit
638,599,537,517,517,456,428,372,355,353


2006-3
land,euro,deutschland,europa,mensch,polit,deutsch,bundesregier,milliard,koalition
1408,1114,1082,921,809,783,731,727,672,659


2006-4
deutsch,antrag,bundesregier,ausschuss,gesetz,deutschland,mensch,fraktion,polit,europa
340,332,308,278,270,262,226,213,210,197


2006-5
europa,deutschland,bundesregier,land,ausschuss,polit,gesetz,euro,deutsch,wirtschaft
567,387,383,368,319,309,306,285,284,268


2006-6
land,euro,deutschland,fraktion,mensch,gesetz,milliard,haushalt,polit,europa
1341,1285,903,872,772,771,724,722,719,713


2006-7
kein Wort wurde mehr als 0 mal gesagt
0


2006-8
kein Wort wurde mehr als 0 mal gesagt
0


2006-9
deutschland,land,euro,deutsch,polit,europa,mensch,bundesregier,haushalt,ausschuss
1179,983,975,916,883,844,844,836,645,613


2006-10
land,mensch,bundesregier,deutschland,ausschuss,europa,deutsch,fraktion,antrag,polit
686,550,528,511,508,476,412,382,378,336


2006-11
euro,land,deutschland,mensch,deutsch,bundesregier,polit,koalition,fraktion,milliard
1242,1073,1016,931,916,825,767,738,722,716


2006-12
land,europa,antrag,fraktion,bundesregier,gesetz,mensch,ausschuss,deutschland,deutsch
482,444,370,358,341,332,306,302,298,280


2007-1
europa,bundesregier,deutschland,land,gesetz,deutsch,bereich,mensch,antrag,fraktion
396,352,310,282,255,232,228,214,195,187


2007-2
mensch,ausschuss,deutschland,land,antrag,fraktion,europa,gesetz,deutsch,alt
373,367,352,319,297,291,261,253,249,240


2007-3
europa,deutschland,antrag,bundesregier,land,ausschuss,fraktion,deutsch,mensch,polit
1364,1284,1227,1103,1051,1004,1001,992,976,719


2007-4
deutschland,europa,ausschuss,land,deutsch,antrag,bundesregier,mensch,fraktion,gesetz
296,280,272,261,251,238,235,225,204,167


2007-5
bundesregier,antrag,deutschland,land,fraktion,europa,mensch,ausschuss,deutsch,euro
667,658,652,612,602,556,555,549,527,473


2007-6
europa,antrag,fraktion,mensch,ausschuss,bundesregier,deutschland,land,deutsch,polit
645,577,561,545,477,472,441,397,395,365


2007-7
fraktion,bundesregier,antrag,mensch,deutschland,ausschuss,europa,deutsch,land,gesetzentwurf
352,343,334,309,282,271,263,261,253,248


2007-8
kein Wort wurde mehr als 0 mal gesagt
0


2007-9
euro,land,deutschland,mensch,deutsch,polit,bundesregier,haushalt,milliard,million
858,807,732,731,576,544,542,467,435,429


2007-10
land,bundesregier,mensch,antrag,ausschuss,deutschland,fraktion,polit,arbeit,deutsch
534,495,491,463,437,435,420,372,370,368


2007-11
euro,land,fraktion,deutschland,mensch,bundesregier,deutsch,europa,polit,antrag
1030,980,880,870,818,754,739,668,647,631


2007-12
europa,mensch,fraktion,land,ausschuss,antrag,deutschland,bundesregier,kind,deutsch
498,358,348,326,314,309,302,272,260,253


2008-1
mensch,deutschland,antrag,bundesregier,fraktion,gesetz,land,euro,ausschuss,deutsch
680,584,577,573,488,475,472,463,393,372


2008-2
deutschland,deutsch,antrag,mensch,land,bundesregier,europa,fraktion,ausschuss,euro
710,594,577,567,566,551,507,468,414,354


2008-3
bundesregier,europa,antrag,deutschland,fraktion,mensch,deutsch,ausschuss,land,frau
641,606,601,506,491,489,444,437,435,382


2008-4
europa,bundesregier,mensch,antrag,deutschland,ausschuss,land,deutsch,fraktion,polit
841,619,566,548,543,515,489,443,423,404


2008-5
deutschland,deutsch,antrag,bundesregier,land,mensch,europa,fraktion,polit,ausschuss
755,731,670,650,628,572,551,545,505,487


2008-6
antrag,mensch,land,bundesregier,deutschland,deutsch,fraktion,europa,gesetz,grun
1271,988,986,982,951,939,894,855,813,675


2008-7
kein Wort wurde mehr als 0 mal gesagt
0


2008-8
kein Wort wurde mehr als 0 mal gesagt
0


2008-9
euro,land,deutschland,mensch,deutsch,bundesregier,polit,milliard,kind,antrag
973,841,821,797,640,607,585,522,500,481


2008-10
bundesregier,land,gesetz,deutschland,euro,fraktion,ausschuss,deutsch,mensch,antrag
468,370,354,353,328,324,320,316,298,252


2008-11
euro,land,deutschland,bundesregier,deutsch,fraktion,mensch,milliard,gesetz,europa
1008,750,679,655,619,603,565,493,493,465


2008-12
antrag,land,fraktion,bundesregier,europa,euro,polit,mensch,kind,ausschuss
792,739,719,693,690,639,620,608,606,601


2009-1
land,euro,bundesregier,mensch,deutschland,antrag,fraktion,gesetz,gesetzentwurf,ausschuss
626,604,594,556,519,484,477,454,419,410


2009-2
fraktion,gesetzentwurf,euro,antrag,land,gesetz,mensch,deutschland,bundesregier,berat
294,268,258,250,250,248,239,233,230,212


2009-3
bundesregier,antrag,deutschland,fraktion,deutsch,europa,ausschuss,land,gesetz,mensch
940,822,725,658,636,589,567,567,560,497


2009-4
fraktion,antrag,bundesregier,europa,deutschland,gesetz,mensch,link,deutsch,land
445,430,413,409,397,371,360,345,333,332


2009-5
antrag,bundesregier,fraktion,land,europa,deutsch,gesetz,gesetzentwurf,deutschland,ausschuss
1055,896,876,864,779,761,759,709,670,662


2009-6
fraktion,antrag,europa,gesetz,land,bundesregier,mensch,grun,gesetzentwurf,beschlussempfehl
681,562,503,475,431,428,424,419,405,405


2009-7
antrag,fraktion,deutsch,bundesregier,mensch,beschlussempfehl,grun,deutschland,gesetz,land
979,883,750,738,703,674,662,647,601,598


2009-8
europa,bundesverfassungsgericht,parlament,bundestag,bundesregier,entscheid,fraktion,ausschuss,untersuchungsausschuss,deutsch
177,142,112,110,93,71,67,67,63,57


2009-9
europa,deutschland,land,deutsch,afghanistan,fraktion,mensch,bundestag,spd,fdp
127,120,117,103,102,96,88,86,70,68


2009-10
bundesminist,gott,helf,bundeskanzlerin,sitzung,bundesministerin,herrn,grundgesetz,mitglied,deutsch
37,18,17,13,12,12,12,11,11,10


2009-11
deutschland,land,mensch,koalitionsvertrag,deutsch,polit,bundesregier,koalition,kind,europa
658,656,638,483,472,422,419,333,325,320


2009-12
land,deutsch,antrag,deutschland,europa,bundesregier,fraktion,mensch,polit,grun
591,557,521,513,490,484,406,349,329,309


2010-1
euro,mensch,land,deutschland,milliard,polit,haushalt,koalition,deutsch,geld
1079,677,676,668,613,554,503,476,465,401


2010-2
